_,station,arr,dep,dwell,runtime,train,line
12,顺德,22:20,22:20,0,_,C 7702,广珠城际线A200km/h
13,北滘,22:22,22:22,0,_,C 7702,广珠城际线A200km/h
14,广州南,22:29,-,5,1:09,C 7702,广珠城际线A200km/h
1,广州南,-,21:11,5,0:00,C 7703,
2,北滘,21:16,21:16,0,_,C 7703,广珠城际线A200km/h
3,顺德,21:19,21:26,7,0:08,C 7703,广珠城际线A200km/h
4,顺德学院,21:30,21:30,0,_,C 7703,广珠城际线A200km/h
5,容桂,21:35,21:37,2,0:24,C 7703,广珠城际线A200km/h
6,南头,21:40,21:40,0,_,C 7703,广珠城际线A200km/h
7,小榄,21:44,21:45,1,0:33,C 7703,广珠城际线A200km/h
8,中山北,21:52,21:52,0,_,C 7703,广珠城际线B200km/h
9,中山,21:56,21:57,1,0:45,C 7703,广珠城际线B200km/h
10,南朗,22:02,22:02,0,_,C 7703,广珠城际线B200km/h
11,珠海北,22:06,22:06,0,_,C 7703,广珠城际线B200km/h
12,唐家湾,22:08,22:08,0,_,C 7703,广珠城际线B200km/h
13,明珠,22:14,22:15,1,1:03,C 7703,广珠城际线B200km/h
14,珠海,22:28,-,5,1:17,C 7703,广珠城际线B200km/h
1,珠海,-,21:31,5,0:00,C 7704,
2,明珠,21:41,21:42,1,0:10,C 7704,广珠城际线B200km/h
3,唐家湾,21:50,21:52,2,0:19,C 7704,广珠城际线B200km/h
4,珠海北,21:55,21:55,0,_,C 7704,广珠城际线B200km/h
5,南朗,21:59,21:59,0,_,C 7704,广珠城际线B200km/h
6,中山,22:03,22:03,0,_,C 7704,广珠城际线B200km/h
7,中山北,22:05,22:06,1,0:34,C 7704,广珠城际线B200km/h
8,小榄,22:15,22:19,4,0:44,C 7704,广珠城际线B200km/h
9,南头,22:23,22:23,0,_,C 7704,广珠城际线A200km/h
10,容桂,22:25,22:25,0,_,C 7704,广珠城际线A200km/h
11,顺德学院,22:28,22:28,0,_,C 7704,广珠城际线A200km/h
12,顺德,22:31,22:31,0,_,C 7704,广珠城际线A200km/h
13,北滘,22:33,22:33,0,_,C 7704,广珠城际线A200km/h
14,广州南,22:39,-,5,1:08,C 7704,广珠城际线A200km/h
1,广州南,-,21:30,5,0:00,C 7705,
2,北滘,21:35,21:35,0,_,C 7705,广珠城际线A200km/h
3,顺德,21:38,21:40,2,0:08,C 7705,广珠城际线A200km/h
4,顺德学院,21:44,21:44,0,_,C 7705,广珠城际线A200km/h
5,容桂,21:49,21:50,1,0:19,C 7705,广珠城际线A200km/h
6,南头,21:53,21:53,0,_,C 7705,广珠城际线A200km/h
7,小榄,21:57,21:59,2,0:27,C 7705,广珠城际线A200km/h
8,中山北,22:08,22:09,1,0:38,C 7705,广珠城际线B200km/h
9,中山,22:12,22:12,0,_,C 7705,广珠城际线B200km/h
10,南朗,22:16,22:16,0,_,C 7705,广珠城际线B200km/h
11,珠海北,22:20,22:20,0,_,C 7705,广珠城际线B200km/h
12,唐家湾,22:22,22:22,0,_,C 7705,广珠城际线B200km/h
13,明珠,22:27,22:29,2,0:57,C 7705,广珠城际线B200km/h
14,珠海,22:42,-,5,1:12,C 7705,广珠城际线B200km/h
1,珠海,-,22:05,5,0:00,C 7706,
2,明珠,22:11,22:11,0,_,C 7706,广珠城际线B200km/h
3,唐家湾,22:16,22:16,0,_,C 7706,广珠城际线B200km/h
4,珠海北,22:18,22:18,0,_,C 7706,广珠城际线B200km/h
5,南朗,22:22,22:22,0,_,C 7706,广珠城际线B200km/h
6,中山,22:26,22:26,0,_,C 7706,广珠城际线B200km/h
7,中山北,22:30,22:32,2,0:25,C 7706,广珠城际线B200km/h
8,小榄,22:41,22:44,3,0:36,C 7706,广珠城际线B200km/h
9,南头,22:48,22:48,0,_,C 7706,广珠城际线A200km/h
10,容桂,22:50,22:50,0,_,C 7706,广珠城际线A200km/h
11,顺德学院,22:53,22:53,0,_,C 7706,广珠城际线A200km/h
12,顺德,22:56,22:56,0,_,C 7706,广珠城际线A200km/h
13,北滘,22:58,22:58,0,_,C 7706,广珠城际线A200km/h
14,广州南,23:04,-,5,0:59,C 7706,广珠城际线A200km/h
1,广州南,-,21:50,5,0:00,C 7707,
2,北滘,21:55,21:55,0,_,C 7707,广珠城际线A200km/h
3,顺德,21:58,22:00,2,0:08,C 7707,广珠城际线A200km/h
4,顺德学院,22:04,22:04,0,_,C 7707,广珠城际线A200km/h
5,容桂,22:09,22:10,1,0:19,C 7707,广珠城际线A200km/h
6,南头,22:13,22:13,0,_,C 7707,广珠城际线A200km/h
7,小榄,22:17,22:19,2,0:27,C 7707,广珠城际线A200km/h
8,中山北,22:26,22:26,0,_,C 7707,广珠城际线B200km/h
9,中山,22:29,22:31,2,0:39,C 7707,广珠城际线B200km/h
10,南朗,22:36,22:36,0,_,C 7707,广珠城际线B200km/h
11,珠海北,22:40,22:40,0,_,C 7707,广珠城际线B200km/h
12,唐家湾,22:42,22:42,0,_,C 7707,广珠城际线B200km/h
13,明珠,22:47,22:47,0,_,C 7707,广珠城际线B200km/h
14,珠海,22:57,-,5,1:07,C 7707,广珠城际线B200km/h
1,广州南,-,22:10,5,0:00,C 7709,
2,北滘,22:15,22:15,0,_,C 7709,广珠城际线A200km/h
3,顺德,22:17,22:17,0,_,C 7709,广珠城际线A200km/h
4,顺德学院,22:20,22:20,0,_,C 7709,广珠城际线A200km/h
5,容桂,22:23,22:23,0,_,C 7709,广珠城际线A200km/h
6,南头,22:25,22:25,0,_,C 7709,广珠城际线A200km/h
7,小榄,22:28,22:30,2,0:18,C 7709,广珠城际线A200km/h
8,中山北,22:39,22:41,2,0:29,C 7709,广珠城际线B200km/h
9,中山,22:44,22:44,0,_,C 7709,广珠城际线B200km/h
10,南朗,22:48,22:48,0,_,C 7709,广珠城际线B200km/h
11,珠海北,22:52,22:52,0,_,C 7709,广珠城际线B200km/h
12,唐家湾,22:54,22:54,0,_,C 7709,广珠城际线B200km/h
13,明珠,22:59,22:59,0,_,C 7709,广珠城际线B200km/h
14,珠海,23:09,-,5,0:59,C 7709,广珠城际线B200km/h
1,珠海,-,22:46,5,0:00,C 7710,
2,明珠,22:52,22:52,0,_,C 7710,广珠城际线B200km/h
3,唐家湾,22:57,22:57,0,_,C 7710,广珠城际线B200km/h
4,珠海北,22:59,22:59,0,_,C 7710,广珠城际线B200km/h
5,南朗,23:03,23:03,0,_,C 7710,广珠城际线B200km/h
6,中山,23:09,23:11,2,0:23,C 7710,广珠城际线B200km/h
7,中山北,23:14,23:14,0,_,C 7710,广珠城际线B200km/h
8,小榄,23:20,23:20,0,_,C 7710,广珠城际线B200km/h
9,南头,23:24,23:24,0,_,C 7710,广珠城际线A200km/h
10,容桂,23:26,23:26,0,_,C 7710,广珠城际线A200km/h
11,顺德学院,23:29,23:29,0,_,C 7710,广珠城际线A200km/h
12,顺德,23:32,23:32,0,_,C 7710,广珠城际线A200km/h
13,北滘,23:34,23:34,0,_,C 7710,广珠城际线A200km/h
14,广州南,23:40,-,5,0:54,C 7710,广珠城际线A200km/h
1,广州南,-,22:34,5,0:00,C 7711,
2,北滘,22:39,22:39,0,_,C 7711,广珠城际线A200km/h
3,顺德,22:41,22:41,0,_,C 7711,广珠城际线A200km/h
4,顺德学院,22:44,22:44,0,_,C 7711,广珠城际线A200km/h
5,容桂,22:47,22:47,0,_,C 7711,广珠城际线A200km/h
6,南头,22:49,22:49,0,_,C 7711,广珠城际线A200km/h
7,小榄,22:52,22:52,0,_,C 7711,广珠城际线A200km/h
8,中山北,22:59,22:59,0,_,C 7711,广珠城际线B200km/h
9,中山,23:01,23:03,2,0:27,C 7711,广珠城际线B200km/h
10,南朗,23:08,23:08,0,_,C 7711,广珠城际线B200km/h
11,珠海北,23:12,23:12,0,_,C 7711,广珠城际线B200km/h
12,唐家湾,23:14,23:14,0,_,C 7711,广珠城际线B200km/h
13,明珠,23:19,23:19,0,_,C 7711,广珠城际线B200km/h
14,珠海,23:29,-,5,0:55,C 7711,广珠城际线B200km/h
1,珠海,-,22:57,5,0:00,C 7712,
2,明珠,23:03,23:03,0,_,C 7712,广珠城际线B200km/h
3,唐家湾,23:08,23:08,0,_,C 7712,广珠城际线B200km/h
4,珠海北,23:10,23:10,0,_,C 7712,广珠城际线B200km/h
5,南朗,23:14,23:14,0,_,C 7712,广珠城际线B200km/h
6,中山,23:20,23:22,2,0:23,C 7712,广珠城际线B200km/h
7,中山北,23:25,23:25,0,_,C 7712,广珠城际线B200km/h
8,小榄,23:31,23:31,0,_,C 7712,广珠城际线B200km/h
9,南头,23:35,23:35,0,_,C 7712,广珠城际线A200km/h
10,容桂,23:37,23:37,0,_,C 7712,广珠城际线A200km/h
11,顺德学院,23:40,23:40,0,_,C 7712,广珠城际线A200km/h
12,顺德,23:43,23:43,0,_,C 7712,广珠城际线A200km/h
13,北滘,23:45,23:45,0,_,C 7712,广珠城际线A200km/h
14,广州南,23:50,-,5,0:53,C 7712,广珠城际线A200km/h
1,佛山西,-,6:32,5,0:00,C 7721,贵广客运专线300km/h
2,广州南,6:49,6:54,5,0:17,C 7721,贵广客运专线300km/h
3,北滘,6:59,6:59,0,_,C 7721,广珠城际线A200km/h
4,顺德,7:01,7:01,0,_,C 7721,广珠城际线A200km/h
5,顺德学院,7:04,7:04,0,_,C 7721,广珠城际线A200km/h
6,容桂,7:07,7:07,0,_,C 7721,广珠城际线A200km/h
7,南头,7:09,7:09,0,_,C 7721,广珠城际线A200km/h
8,小榄,7:15,7:17,2,0:43,C 7721,广珠城际线A200km/h
9,古镇,7:21,7:21,0,_,C 7721,江门线-深湛线200km/h
10,江门东,7:26,7:28,2,0:54,C 7721,江门线-深湛线200km/h
11,新会,7:31,7:31,0,_,C 7721,江门线-深湛线200km/h
12,江门,7:36,7:38,2,1:04,C 7721,江门线-深湛线200km/h
13,双水镇,7:48,7:48,0,_,C 7721,江门线-深湛线200km/h
14,台山,7:53,7:53,0,_,C 7721,江门线-深湛线200km/h
15,开平南,7:59,7:59,0,_,C 7721,江门线-深湛线200km/h
16,恩平,8:11,8:17,6,1:39,C 7721,江门线-深湛线200km/h
17,阳东,8:30,8:30,0,_,C 7721,江门线-深湛线200km/h
18,阳江,8:41,-,5,2:09,C 7721,江门线-深湛线200km/h
1,江门,-,6:30,5,0:00,C 7722,
2,新会,6:34,6:34,0,_,C 7722,江门线-深湛线200km/h
3,江门东,6:37,6:38,1,0:07,C 7722,江门线-深湛线200km/h
4,古镇,6:43,6:43,0,_,C 7722,江门线-深湛线200km/h
5,小榄,6:47,6:49,2,0:17,C 7722,江门线-深湛线200km/h
6,南头,6:53,6:53,0,_,C 7722,广珠城际线A200km/h
7,容桂,6:56,6:58,2,0:26,C 7722,广珠城际线A200km/h
8,顺德学院,7:02,7:02,0,_,C 7722,广珠城际线A200km/h
9,顺德,7:07,7:09,2,0:37,C 7722,广珠城际线A200km/h
10,北滘,7:12,7:12,0,_,C 7722,广珠城际线A200km/h
11,广州南,7:20,-,5,0:50,C 7722,广珠城际线A200km/h
1,江门,-,7:05,5,0:00,C 7724,
2,新会,7:09,7:09,0,_,C 7724,江门线-深湛线200km/h
3,江门东,7:12,7:13,1,0:07,C 7724,江门线-深湛线200km/h
4,古镇,7:18,7:18,0,_,C 7724,江门线-深湛线200km/h
5,小榄,7:22,7:24,2,0:17,C 7724,江门线-深湛线200km/h
6,南头,7:28,7:28,0,_,C 7724,广珠城际线A200km/h
7,容桂,7:32,7:33,1,0:27,C 7724,广珠城际线A200km/h
8,顺德学院,7:37,7:37,0,_,C 7724,广珠城际线A200km/h
9,顺德,7:42,7:44,2,0:37,C 7724,广珠城际线A200km/h
10,北滘,7:47,7:47,0,_,C 7724,广珠城际线A200km/h
11,广州南,7:54,-,5,0:49,C 7724,广珠城际线A200km/h
1,广州南,-,10:44,5,0:00,C 7725,
2,北滘,10:49,10:49,0,_,C 7725,广珠城际线A200km/h
3,顺德,10:51,10:51,0,_,C 7725,广珠城际线A200km/h
4,顺德学院,10:54,10:54,0,_,C 7725,广珠城际线A200km/h
5,容桂,10:57,10:57,0,_,C 7725,广珠城际线A200km/h
6,南头,10:59,10:59,0,_,C 7725,广珠城际线A200km/h
7,小榄,11:02,11:02,0,_,C 7725,广珠城际线A200km/h
8,古镇,11:06,11:06,0,_,C 7725,江门线-深湛线200km/h
9,江门东,11:10,11:10,0,_,C 7725,江门线-深湛线200km/h
10,新会,11:12,11:12,0,_,C 7725,江门线-深湛线200km/h
11,江门,11:20,11:22,2,0:36,C 7725,江门线-深湛线200km/h
12,双水镇,11:32,11:32,0,_,C 7725,江门线-深湛线200km/h
13,台山,11:37,11:37,0,_,C 7725,江门线-深湛线200km/h
14,开平南,11:43,11:43,0,_,C 7725,江门线-深湛线200km/h
15,恩平,11:53,11:53,0,_,C 7725,江门线-深湛线200km/h
16,阳东,12:05,12:05,0,_,C 7725,江门线-深湛线200km/h
17,阳江,12:15,-,5,1:31,C 7725,江门线-深湛线200km/h
1,阳江,-,6:54,5,0:00,C 7726,
2,阳东,7:03,7:03,0,_,C 7726,江门线-深湛线200km/h
3,恩平,7:15,7:15,0,_,C 7726,江门线-深湛线200km/h
4,开平南,7:25,7:25,0,_,C 7726,江门线-深湛线200km/h
5,台山,7:31,7:31,0,_,C 7726,江门线-深湛线200km/h
6,双水镇,7:36,7:36,0,_,C 7726,江门线-深湛线200km/h
7,江门,7:46,7:48,2,0:52,C 7726,江门线-深湛线200km/h
8,新会,7:52,7:52,0,_,C 7726,江门线-深湛线200km/h
9,江门东,7:55,7:57,2,1:01,C 7726,江门线-深湛线200km/h
10,古镇,8:03,8:05,2,1:09,C 7726,江门线-深湛线200km/h
11,小榄,8:10,8:12,2,1:16,C 7726,江门线-深湛线200km/h
12,南头,8:16,8:16,0,_,C 7726,广珠城际线A200km/h
13,容桂,8:19,8:26,7,1:25,C 7726,广珠城际线A200km/h
14,顺德学院,8:30,8:30,0,_,C 7726,广珠城际线A200km/h
15,顺德,8:33,8:33,0,_,C 7726,广珠城际线A200km/h
16,北滘,8:36,8:38,2,1:42,C 7726,广珠城际线A200km/h
17,广州南,8:47,-,5,1:53,C 7726,广珠城际线A200km/h
1,广州南,-,11:10,5,0:00,C 7727,
2,北滘,11:15,11:15,0,_,C 7727,广珠城际线A200km/h
3,顺德,11:17,11:17,0,_,C 7727,广珠城际线A200km/h
4,顺德学院,11:20,11:20,0,_,C 7727,广珠城际线A200km/h
5,容桂,11:23,11:23,0,_,C 7727,广珠城际线A200km/h
6,南头,11:25,11:25,0,_,C 7727,广珠城际线A200km/h
7,小榄,11:28,11:28,0,_,C 7727,广珠城际线A200km/h
8,古镇,11:32,11:32,0,_,C 7727,江门线-深湛线200km/h
9,江门东,11:36,11:37,1,0:26,C 7727,江门线-深湛线200km/h
10,新会,11:40,11:40,0,_,C 7727,江门线-深湛线200km/h
11,江门,11:43,11:43,0,_,C 7727,江门线-深湛线200km/h
12,双水镇,11:52,11:52,0,_,C 7727,江门线-深湛线200km/h
13,台山,11:57,11:57,0,_,C 7727,江门线-深湛线200km/h
14,开平南,12:03,12:03,0,_,C 7727,江门线-深湛线200km/h
15,恩平,12:14,12:16,2,1:04,C 7727,江门线-深湛线200km/h
16,阳东,12:29,12:29,0,_,C 7727,江门线-深湛线200km/h
17,阳江,12:40,-,5,1:30,C 7727,江门线-深湛线200km/h
1,阳江,-,7:26,5,0:00,C 7728,
2,阳东,7:35,7:35,0,_,C 7728,江门线-深湛线200km/h
3,恩平,7:47,7:47,0,_,C 7728,江门线-深湛线200km/h
4,开平南,7:57,7:57,0,_,C 7728,江门线-深湛线200km/h
5,台山,8:04,8:06,2,0:38,C 7728,江门线-深湛线200km/h
6,双水镇,8:12,8:12,0,_,C 7728,江门线-深湛线200km/h
7,江门,8:24,8:26,2,0:58,C 7728,江门线-深湛线200km/h
8,新会,8:30,8:30,0,_,C 7728,江门线-深湛线200km/h
9,江门东,8:33,8:35,2,1:07,C 7728,江门线-深湛线200km/h
10,古镇,8:41,8:43,2,1:15,C 7728,江门线-深湛线200km/h
11,小榄,8:48,8:50,2,1:22,C 7728,江门线-深湛线200km/h
12,南头,8:54,8:54,0,_,C 7728,广珠城际线A200km/h
13,容桂,8:57,9:09,12,1:31,C 7728,广珠城际线A200km/h
14,顺德学院,9:13,9:13,0,_,C 7728,广珠城际线A200km/h
15,顺德,9:18,9:20,2,1:52,C 7728,广珠城际线A200km/h
16,北滘,9:23,9:23,0,_,C 7728,广珠城际线A200km/h
17,广州南,9:31,-,5,2:05,C 7728,广珠城际线A200km/h
1,广州南,-,15:00,5,0:00,C 7729,
2,北滘,15:05,15:05,0,_,C 7729,广珠城际线A200km/h
3,顺德,15:07,15:07,0,_,C 7729,广珠城际线A200km/h
4,顺德学院,15:10,15:10,0,_,C 7729,广珠城际线A200km/h
5,容桂,15:13,15:13,0,_,C 7729,广珠城际线A200km/h
6,南头,15:15,15:15,0,_,C 7729,广珠城际线A200km/h
7,小榄,15:18,15:18,0,_,C 7729,广珠城际线A200km/h
8,古镇,15:22,15:24,2,0:22,C 7729,江门线-深湛线200km/h
9,江门东,15:30,15:32,2,0:30,C 7729,江门线-深湛线200km/h
10,新会,15:35,15:35,0,_,C 7729,江门线-深湛线200km/h
11,江门,15:40,15:42,2,0:40,C 7729,江门线-深湛线200km/h
12,双水镇,15:52,15:52,0,_,C 7729,江门线-深湛线200km/h
13,台山,15:57,15:57,0,_,C 7729,江门线-深湛线200km/h
14,开平南,16:03,16:03,0,_,C 7729,江门线-深湛线200km/h
15,恩平,16:15,16:17,2,1:15,C 7729,江门线-深湛线200km/h
16,阳东,16:30,16:30,0,_,C 7729,江门线-深湛线200km/h
17,阳江,16:40,-,5,1:40,C 7729,江门线-深湛线200km/h
1,阳江,-,8:26,5,0:00,C 7730,
2,阳东,8:35,8:35,0,_,C 7730,江门线-深湛线200km/h
3,恩平,8:47,8:47,0,_,C 7730,江门线-深湛线200km/h
4,开平南,8:57,8:57,0,_,C 7730,江门线-深湛线200km/h
5,台山,9:04,9:06,2,0:38,C 7730,江门线-深湛线200km/h
6,双水镇,9:12,9:12,0,_,C 7730,江门线-深湛线200km/h
7,江门,9:25,9:27,2,0:59,C 7730,江门线-深湛线200km/h
8,新会,9:31,9:31,0,_,C 7730,江门线-深湛线200km/h
9,江门东,9:36,9:38,2,1:10,C 7730,江门线-深湛线200km/h
10,古镇,9:44,9:46,2,1:18,C 7730,江门线-深湛线200km/h
11,小榄,9:51,9:53,2,1:25,C 7730,江门线-深湛线200km/h
12,南头,9:57,9:57,0,_,C 7730,广珠城际线A200km/h
13,容桂,9:59,9:59,0,_,C 7730,广珠城际线A200km/h
14,顺德学院,10:02,10:02,0,_,C 7730,广珠城际线A200km/h
15,顺德,10:05,10:05,0,_,C 7730,广珠城际线A200km/h
16,北滘,10:07,10:07,0,_,C 7730,广珠城际线A200km/h
17,广州南,10:13,-,5,1:47,C 7730,广珠城际线A200km/h
1,广州南,-,16:58,5,0:00,C 7731,
2,北滘,17:03,17:03,0,_,C 7731,广珠城际线A200km/h
3,顺德,17:05,17:05,0,_,C 7731,广珠城际线A200km/h
4,顺德学院,17:09,17:10,1,0:11,C 7731,广珠城际线A200km/h
5,容桂,17:14,17:14,0,_,C 7731,广珠城际线A200km/h
6,南头,17:16,17:16,0,_,C 7731,广珠城际线A200km/h
7,小榄,17:19,17:19,0,_,C 7731,广珠城际线A200km/h
8,古镇,17:23,17:23,0,_,C 7731,江门线-深湛线200km/h
9,江门东,17:28,17:30,2,0:30,C 7731,江门线-深湛线200km/h
10,新会,17:33,17:33,0,_,C 7731,江门线-深湛线200km/h
11,江门,17:38,17:40,2,0:40,C 7731,江门线-深湛线200km/h
12,双水镇,17:50,17:50,0,_,C 7731,江门线-深湛线200km/h
13,台山,17:55,17:55,0,_,C 7731,江门线-深湛线200km/h
14,开平南,18:01,18:01,0,_,C 7731,江门线-深湛线200km/h
15,恩平,18:13,18:15,2,1:15,C 7731,江门线-深湛线200km/h
16,阳东,18:28,18:28,0,_,C 7731,江门线-深湛线200km/h
17,阳江,18:39,-,5,1:41,C 7731,江门线-深湛线200km/h
1,阳江,-,8:56,5,0:00,C 7732,
2,阳东,9:05,9:05,0,_,C 7732,江门线-深湛线200km/h
3,恩平,9:19,9:21,2,0:23,C 7732,江门线-深湛线200km/h
4,开平南,9:32,9:32,0,_,C 7732,江门线-深湛线200km/h
5,台山,9:38,9:38,0,_,C 7732,江门线-深湛线200km/h
6,双水镇,9:43,9:43,0,_,C 7732,江门线-深湛线200km/h
7,江门,9:55,9:57,2,0:59,C 7732,江门线-深湛线200km/h
8,新会,10:01,10:01,0,_,C 7732,江门线-深湛线200km/h
9,江门东,10:06,10:08,2,1:10,C 7732,江门线-深湛线200km/h
10,古镇,10:14,10:16,2,1:18,C 7732,江门线-深湛线200km/h
11,小榄,10:22,10:23,1,1:26,C 7732,江门线-深湛线200km/h
12,南头,10:27,10:27,0,_,C 7732,广珠城际线A200km/h
13,容桂,10:29,10:29,0,_,C 7732,广珠城际线A200km/h
14,顺德学院,10:32,10:32,0,_,C 7732,广珠城际线A200km/h
15,顺德,10:35,10:35,0,_,C 7732,广珠城际线A200km/h
16,北滘,10:37,10:37,0,_,C 7732,广珠城际线A200km/h
17,广州南,10:43,-,5,1:47,C 7732,广珠城际线A200km/h
1,广州南,-,20:10,5,0:00,C 7733,
2,北滘,20:15,20:15,0,_,C 7733,广珠城际线A200km/h
3,顺德,20:17,20:17,0,_,C 7733,广珠城际线A200km/h
4,顺德学院,20:20,20:20,0,_,C 7733,广珠城际线A200km/h
5,容桂,20:23,20:23,0,_,C 7733,广珠城际线A200km/h
6,南头,20:25,20:25,0,_,C 7733,广珠城际线A200km/h
7,小榄,20:29,20:31,2,0:19,C 7733,广珠城际线A200km/h
8,古镇,20:37,20:39,2,0:27,C 7733,江门线-深湛线200km/h
9,江门东,20:45,20:47,2,0:35,C 7733,江门线-深湛线200km/h
10,新会,20:50,20:50,0,_,C 7733,江门线-深湛线200km/h
11,江门,20:55,21:02,7,0:45,C 7733,江门线-深湛线200km/h
12,双水镇,21:12,21:12,0,_,C 7733,江门线-深湛线200km/h
13,台山,21:21,21:23,2,1:11,C 7733,江门线-深湛线200km/h
14,开平南,21:30,21:30,0,_,C 7733,江门线-深湛线200km/h
15,恩平,21:40,21:40,0,_,C 7733,江门线-深湛线200km/h
16,阳东,21:52,21:52,0,_,C 7733,江门线-深湛线200km/h
17,阳江,22:03,-,5,1:53,C 7733,江门线-深湛线200km/h
1,广州南,-,20:41,5,0:00,C 7735,
2,北滘,20:46,20:46,0,_,C 7735,广珠城际线A200km/h
3,顺德,20:48,20:48,0,_,C 7735,广珠城际线A200km/h
4,顺德学院,20:51,20:51,0,_,C 7735,广珠城际线A200km/h
5,容桂,20:54,20:54,0,_,C 7735,广珠城际线A200km/h
6,南头,20:56,20:56,0,_,C 7735,广珠城际线A200km/h
7,小榄,20:59,21:01,2,0:18,C 7735,广珠城际线A200km/h
8,古镇,21:05,21:05,0,_,C 7735,江门线-深湛线200km/h
9,江门东,21:09,21:09,0,_,C 7735,江门线-深湛线200km/h
10,新会,21:11,21:11,0,_,C 7735,江门线-深湛线200km/h
11,江门,21:15,21:17,2,0:34,C 7735,江门线-深湛线200km/h
12,双水镇,21:27,21:27,0,_,C 7735,江门线-深湛线200km/h
13,台山,21:32,21:32,0,_,C 7735,江门线-深湛线200km/h
14,开平南,21:40,21:42,2,0:59,C 7735,江门线-深湛线200km/h
15,恩平,21:53,21:53,0,_,C 7735,江门线-深湛线200km/h
16,阳东,22:05,22:05,0,_,C 7735,江门线-深湛线200km/h
17,阳江,22:16,-,5,1:35,C 7735,江门线-深湛线200km/h
1,阳江,-,12:33,5,0:00,C 7736,
2,阳东,12:42,12:42,0,_,C 7736,江门线-深湛线200km/h
3,恩平,12:54,12:54,0,_,C 7736,江门线-深湛线200km/h
4,开平南,13:06,13:08,2,0:33,C 7736,江门线-深湛线200km/h
5,台山,13:17,13:19,2,0:44,C 7736,江门线-深湛线200km/h
6,双水镇,13:25,13:25,0,_,C 7736,江门线-深湛线200km/h
7,江门,13:38,13:40,2,1:05,C 7736,江门线-深湛线200km/h
8,新会,13:44,13:44,0,_,C 7736,江门线-深湛线200km/h
9,江门东,13:46,13:46,0,_,C 7736,江门线-深湛线200km/h
10,古镇,13:50,13:50,0,_,C 7736,江门线-深湛线200km/h
11,小榄,13:53,13:53,0,_,C 7736,江门线-深湛线200km/h
12,南头,13:57,13:57,0,_,C 7736,广珠城际线A200km/h
13,容桂,13:59,13:59,0,_,C 7736,广珠城际线A200km/h
14,顺德学院,14:02,14:02,0,_,C 7736,广珠城际线A200km/h
15,顺德,14:05,14:05,0,_,C 7736,广珠城际线A200km/h
16,北滘,14:07,14:07,0,_,C 7736,广珠城际线A200km/h
17,广州南,14:17,-,5,1:44,C 7736,广珠城际线A200km/h
1,广州南,-,20:57,5,0:00,C 7737,
2,北滘,21:02,21:02,0,_,C 7737,广珠城际线A200km/h
3,顺德,21:05,21:07,2,0:08,C 7737,广珠城际线A200km/h
4,顺德学院,21:11,21:11,0,_,C 7737,广珠城际线A200km/h
5,容桂,21:14,21:14,0,_,C 7737,广珠城际线A200km/h
6,南头,21:16,21:16,0,_,C 7737,广珠城际线A200km/h
7,小榄,21:20,21:21,1,0:23,C 7737,广珠城际线A200km/h
8,古镇,21:25,21:25,0,_,C 7737,江门线-深湛线200km/h
9,江门东,21:29,21:29,0,_,C 7737,江门线-深湛线200km/h
10,新会,21:31,21:31,0,_,C 7737,江门线-深湛线200km/h
11,江门,21:36,21:38,2,0:39,C 7737,江门线-深湛线200km/h
12,双水镇,21:48,21:48,0,_,C 7737,江门线-深湛线200km/h
13,台山,21:53,21:53,0,_,C 7737,江门线-深湛线200km/h
14,开平南,21:59,21:59,0,_,C 7737,江门线-深湛线200km/h
15,恩平,22:09,22:09,0,_,C 7737,江门线-深湛线200km/h
16,阳东,22:21,22:21,0,_,C 7737,江门线-深湛线200km/h
17,阳江,22:31,-,5,1:34,C 7737,江门线-深湛线200km/h
1,阳江,-,13:00,5,0:00,C 7738,
2,阳东,13:09,13:09,0,_,C 7738,江门线-深湛线200km/h
3,恩平,13:21,13:21,0,_,C 7738,江门线-深湛线200km/h
4,开平南,13:33,13:35,2,0:33,C 7738,江门线-深湛线200km/h
5,台山,13:42,13:42,0,_,C 7738,江门线-深湛线200km/h
6,双水镇,13:47,13:47,0,_,C 7738,江门线-深湛线200km/h
7,江门,13:59,14:01,2,0:59,C 7738,江门线-深湛线200km/h
8,新会,14:05,14:05,0,_,C 7738,江门线-深湛线200km/h
9,江门东,14:10,14:11,1,1:10,C 7738,江门线-深湛线200km/h
10,古镇,14:18,14:19,1,1:18,C 7738,江门线-深湛线200km/h
11,小榄,14:23,14:23,0,_,C 7738,江门线-深湛线200km/h
12,南头,14:27,14:27,0,_,C 7738,广珠城际线A200km/h
13,容桂,14:29,14:29,0,_,C 7738,广珠城际线A200km/h
14,顺德学院,14:32,14:32,0,_,C 7738,广珠城际线A200km/h
15,顺德,14:35,14:35,0,_,C 7738,广珠城际线A200km/h
16,北滘,14:37,14:37,0,_,C 7738,广珠城际线A200km/h
17,广州南,14:42,-,5,1:42,C 7738,广珠城际线A200km/h
1,阳江,-,17:08,5,0:00,C 7740,
2,阳东,17:17,17:17,0,_,C 7740,江门线-深湛线200km/h
3,恩平,17:29,17:29,0,_,C 7740,江门线-深湛线200km/h
4,开平南,17:41,17:43,2,0:33,C 7740,江门线-深湛线200km/h
5,台山,17:52,17:58,6,0:44,C 7740,江门线-深湛线200km/h
6,双水镇,18:04,18:04,0,_,C 7740,江门线-深湛线200km/h
7,江门,18:17,18:24,7,1:09,C 7740,江门线-深湛线200km/h
